DATE,HOLIDAY,WEEKDAY,WEATHERSIT,TEMP,ATEMP,HUMIDITY,WINDSPEED,CASUAL,REGISTERED
2011-01-01,NO,NO,2,11,11,81,17,331,654
2011-01-02,NO,NO,2,9,6.5,71.5,17,131,670
2011-01-03,NO,YES,1,1,4,44,18,120,1229
2011-01-04,NO,YES,1,2,2.5,64,9,108,1454
2011-01-05,NO,YES,1,2.5,1,42.5,13,82,1518
2011-01-06,NO,YES,1,2,2,52,6,88,1518
2011-01-07,NO,YES,2,1,3,47.5,11,148,1362
2011-01-08,NO,NO,2,1,5,51,17,68,891
2011-01-09,NO,NO,1,2,8.5,46,25,54,768
2011-01-10,NO,YES,1,2,6,50,15,41,1280
2011-01-11,NO,YES,2,1,3.5,57,7,43,1220
2011-01-12,NO,YES,1,1,5.5,55,22,25,1137
2011-01-13,NO,YES,1,2,7,48.5,20,38,1368
2011-01-14,NO,YES,1,2,3,54,8,54,1367
2011-01-15,NO,NO,2,3.5,3.5,52,12,222,1026
2011-01-16,NO,NO,1,2.5,2,49.5,15,251,953
2011-01-17,YES,YES,2,1,4,48,13,117,883
2011-01-18,NO,YES,2,1,3,87,14,9,674
2011-01-19,NO,YES,2,5.5,2.5,71.5,10,78,1572
2011-01-20,NO,YES,2,4,2,56,15,83,1844
2011-01-21,NO,YES,1,2,5,42,22,75,1468
2011-01-22,NO,NO,1,6.5,11,42,11,93,888
2011-01-23,NO,NO,1,4,10,42,15,150,836
2011-01-24,NO,YES,1,2.5,7,49,13,86,1330
2011-01-25,NO,YES,2,2,4,65,9,186,1799
2011-01-26,NO,YES,3,2,4,93,22,34,472
2011-01-27,NO,YES,1,1.5,2,70,12,15,416
2011-01-28,NO,YES,2,1,2,80,7,38,1129
2011-01-29,NO,NO,1,1,2.5,64,9,123,975
2011-01-30,NO,NO,1,3,2,70,0,140,956
2011-01-31,NO,YES,2,1,4,59,13,42,1459
2011-02-01,NO,YES,2,2,1,86.5,0,47,1313
2011-02-02,NO,YES,2,2.5,2.5,93,16,72,1454
2011-02-03,NO,YES,1,1,4.5,44,20,61,1489
2011-02-04,NO,YES,2,3,1.5,59,9,88,1620
2011-02-05,NO,NO,2,2,1,100,10,100,905
2011-02-06,NO,NO,1,4.5,3,61,7,354,1269
2011-02-07,NO,YES,1,5,5,75,0,120,1592
2011-02-08,NO,YES,1,3,4,40,27,64,1466
2011-02-09,NO,YES,2,2,6,44,12,53,1552
2011-02-10,NO,YES,1,2,5.5,41.5,15,47,1491
2011-02-11,NO,YES,1,4,4,59,6,149,1597
2011-02-12,NO,NO,1,3.5,2,43.5,10,288,1184
2011-02-13,NO,NO,1,9.5,6,36,20,397,1192
2011-02-14,NO,YES,1,10,6,40.5,29,208,1705
2011-02-15,NO,YES,1,4,3.5,32,17,140,1675
2011-02-16,NO,YES,1,8,5.5,44,15,218,1897
2011-02-17,NO,YES,1,13.5,13.5,54.5,15,259,2216
2011-02-18,NO,YES,1,15.5,15.5,51,16,579,2348
2011-02-19,NO,NO,1,11,11,17,35,532,1103
2011-02-20,NO,NO,1,6,4,42.5,11,639,1173
2011-02-21,YES,YES,2,7,5,66,20,195,912
2011-02-22,NO,YES,1,2,6,60,17,74,1376
2011-02-23,NO,YES,1,3,6,48,6,139,1778
2011-02-24,NO,YES,2,7,4,70,19,100,1707
2011-02-25,NO,YES,2,7,6,60,24,120,1341
2011-02-26,NO,NO,1,5,3,56,14,424,1545
2011-02-27,NO,NO,1,9,8,62,9,694,1708
2011-02-28,NO,YES,2,10,8,93,19.5,81,1365
2011-03-01,NO,YES,1,3.5,4,58,14,137,1714
2011-03-02,NO,YES,1,6.5,3.5,37,19.5,231,1903
2011-03-03,NO,YES,1,1.5,3,34,13,123,1562
2011-03-04,NO,YES,2,5.5,4,67.5,13,214,1730
2011-03-05,NO,NO,2,12,12,77,19.5,640,1437
2011-03-06,NO,NO,2,11.5,11.5,100,21,114,491
2011-03-07,NO,YES,1,4,4,48,26,244,1628
2011-03-08,NO,YES,1,6,3,45.5,8,316,1817
2011-03-09,NO,YES,2,7,3,76,17,191,1700
2011-03-10,NO,YES,3,10.5,9.5,100,17,46,577
2011-03-11,NO,YES,2,7,4,57,17,247,1730
2011-03-12,NO,NO,1,8.5,5.5,63.5,13,724,1408
2011-03-13,NO,NO,1,9.5,8.5,53.5,20,982,1435
2011-03-14,NO,YES,1,7.5,5.5,47.5,9,359,1687
2011-03-15,NO,YES,2,7,5,68,13,289,1767
2011-03-16,NO,YES,2,9,8,82,13,321,1871
2011-03-17,NO,YES,1,12,12,63,15,424,2320
2011-03-18,NO,YES,1,19,19,52,15,884,2355
2011-03-19,NO,NO,1,14,14,38,25,1424,1693
2011-03-20,NO,NO,1,8,5,51.5,15,1047,1424
2011-03-21,NO,YES,2,12.5,12.5,74.5,19.5,401,1676
2011-03-22,NO,YES,1,13,13,56.5,16,460,2243
2011-03-23,NO,YES,2,8,5,87,15,203,1918
2011-03-24,NO,YES,2,5.5,2,76,15,166,1699
2011-03-25,NO,YES,1,4.5,3,44,17,300,1910
2011-03-26,NO,NO,1,4,2,42,13,981,1515
2011-03-27,NO,NO,2,4,3,45,12,472,1221
2011-03-28,NO,YES,1,4,3,26,15,222,1806
2011-03-29,NO,YES,1,7.5,4.5,28,17,317,2108
2011-03-30,NO,YES,2,7,5,57,15,168,1368
2011-03-31,NO,YES,3,4.5,1.5,93,15,179,1506
2011-04-01,NO,YES,2,7,4,61,17,307,1920
2011-04-02,NO,NO,2,7,4.5,65.5,11,898,1354
2011-04-03,NO,NO,1,11,11,44,13,1651,1598
2011-04-04,NO,YES,1,22,21.5,43,25,734,2381
2011-04-05,NO,YES,2,10,6,60,28,167,1628
2011-04-06,NO,YES,1,12.5,12.5,41,18,413,2395
2011-04-07,NO,YES,1,12,12,63,13,571,2570
2011-04-08,NO,YES,2,8,6,87,15,172,1299
2011-04-09,NO,NO,2,9,8,87,9,879,1576
2011-04-10,NO,NO,2,11.5,11.5,88,9,1188,1707
