Auction,Age,Make,Color,WheelType,Odo,Size,MMRAauction,MMRAretail,BadBuy
MANHEIM,4,CHRYSLER,GOLD,Covers,45224,CROSSOVER,0,0,1
ADESA,6,PONTIAC,SILVER,Covers,79905,LARGE,3912,4725,1
MANHEIM,6,SATURN,WHITE,Covers,81116,MEDIUM,2667,3380,0
ADESA,3,CHEVROLET,WHITE,NULL,82651,COMPACT,5194,8614,1
MANHEIM,6,CHRYSLER,BEIGE,Alloy,69050,MEDIUM,3265,6441,1
OTHER,5,CHEVROLET,RED,Alloy,54718,MEDIUMSUV,6921,7975,1
MANHEIM,5,FORD,SILVER,Alloy,75757,COMPACT,3475,6958,1
ADESA,4,FORD,BLUE,Covers,65726,VAN,3889,4700,0
OTHER,5,CHEVROLET,GOLD,Covers,89365,VAN,6131,9793,1
ADESA,3,CHEVROLET,WHITE,Covers,71794,VAN,6394,7406,0
MANHEIM,3,CHRYSLER,SILVER,Covers,55011,MEDIUM,6497,9747,0
ADESA,5,CHEVROLET,GREEN,NULL,83482,LARGESUV,10093,11400,1
MANHEIM,5,CHEVROLET,WHITE,Alloy,87726,MEDIUMSUV,7111,8180,1
OTHER,3,CHEVROLET,WHITE,NULL,67229,COMPACT,5785,9834,1
MANHEIM,3,DODGE,GOLD,Covers,71079,MEDIUM,4297,5141,1
MANHEIM,6,OLDSMOBILE,SILVER,Alloy,71235,MEDIUM,3325,4091,1
MANHEIM,8,PONTIAC,SILVER,Alloy,90325,MEDIUM,2150,4937,1
MANHEIM,2,CHEVROLET,RED,Covers,67108,MEDIUM,7032,11649,1
MANHEIM,6,PONTIAC,GREEN,Alloy,96893,MEDIUM,4059,4884,1
ADESA,5,CHRYSLER,RED,Alloy,65486,MEDIUM,4697,8354,1
OTHER,2,DODGE,BLUE,Covers,45151,MEDIUM,7982,9121,1
MANHEIM,6,MAZDA,GOLD,Alloy,85211,COMPACT,2437,3132,0
OTHER,2,DODGE,NOTAVAIL,NULL,50104,MEDIUM,7533,10574,1
