date,state,avgLoans,totalLoans,avgTerm,avgIntRate,avgGrade,avgEmpLength,avgAnnualInc,avgVerifStatus,avgHomeOwner,avgOpenAcc,avgRevolBal,avgRevolUtil,avgTotalAcc,countOfLoans
2008-01-01,AK,5600,5600,36,18.04,7,5,45000,0,1,11,10147,89.8,17,1
2008-03-01,AK,11700,23400,36,11.815,3,3.5,41400,0,0.5,6.5,7772,48.8,9.5,2
2008-06-01,AK,7500,7500,36,13.870000000000001,4,3,165000,0,0,15,14289,34.3,29,1
2008-12-01,AK,25000,25000,36,15.25,5,1,150000,1,0,5,0,0,12,1
2009-01-01,AK,15000,30000,36,12.525,2.5,7,120000,1,0,13,91182.5,25.1,27.5,2
2009-03-01,AK,14662.5,29325,36,13,3,7,134500,0.5,0,10,58997.5,58.85,37.5,2
2009-04-01,AK,20000,20000,36,11.89,2,5,44600,1,0,12,22828,21.4,30,1
2009-05-01,AK,16000,16000,36,12.209999999999999,2,2,120000,0,0,7,9323,31.8,23,1
2009-07-01,AK,1000,1000,36,11.89,2,10,87000,0,0,5,5742,55.2,18,1
2009-11-01,AK,11000,11000,36,8.94,1,7,50400,0,0,6,8694,54,14,1
2009-12-01,AK,5000,5000,36,12.870000000000001,3,1,36000,0,0,9,7790,82,12,1
2010-01-01,AK,10000,10000,36,13.219999999999999,3,10,156000,0,0,10,4027,17.4,31,1
2010-03-01,AK,16000,16000,36,13.850000000000001,3,4,60000,0,0,9,23339,59.5,14,1
2010-04-01,AK,15625,31250,36,11.605,2.5,4,58000,1,0,6.5,7512.5,53.900000000000006,24.5,2
2010-05-01,AK,10800,21600,36,9.25,1.5,7,59042,0,0,9,13945,71.65,16,2
2010-06-01,AK,5466.666666666667,16400,44,12.77,3,6.666666666666667,230000,0.6666666666666666,0,9,4122,22.933333333333334,20,3
2010-07-01,AK,1800,1800,36,11.12,2,10,71004,0,0,12,34364,86.6,49,1
2010-08-01,AK,12500,25000,36,9.685,1.5,6.5,56682,0.5,0,6.5,21991,57.05,16,2
2010-09-01,AK,13362.5,53450,48,13.7875,3.25,7.75,70150,1,0,8.75,13684.25,50.575,24.75,4
2010-11-01,AK,4750,9500,48,10.555,2.5,2.5,82500,1,0,7,14847.5,57.45,17,2
2010-12-01,AK,13000,39000,44,13.096666666666666,3.3333333333333335,4.666666666666667,105666.66666666667,0.6666666666666666,0.3333333333333333,11,9165,65.53333333333333,22,3
2011-01-01,AK,9750,39000,42,9.2225,1.75,4,59150,0.75,0,5.5,8000,60.949999999999996,14.75,4
2011-02-01,AK,12500,37500,44,10.45,2.3333333333333335,2.3333333333333335,71397.33333333333,0.6666666666666666,0,12,13777,34.1,26.333333333333332,3
2011-03-01,AK,9040,45200,45.6,12.386,2.8,8.8,68280,0.8,0,13,20695.4,64.03999999999999,31.8,5
2011-04-01,AK,6300,6300,60,15.28,4,10,110004,0,0,10,33244,80.1,25,1
2011-05-01,AK,6725,40350,48,13.445,3,4.75,64656,0.3333333333333333,0.3333333333333333,8.833333333333334,11375.166666666666,52.9,18.666666666666668,6
2011-06-01,AK,20750,41500,48,14.989999999999998,3.5,1.5,68000,1,0,7,11161.5,56.7,20,2
2011-07-01,AK,20833.333333333332,62500,44,15.123333333333335,3.6666666666666665,8.666666666666666,101333.33333333333,0.6666666666666666,0,12,11727,33.26666666666667,29,3
2011-08-01,AK,22583.333333333332,67750,44,14.756666666666666,3.3333333333333335,5,72584.33333333333,1,0,14,27028,61.16666666666667,31.333333333333332,3
2011-09-01,AK,9625,28875,36,13.423333333333334,3,4.333333333333333,50083.333333333336,0.3333333333333333,0.3333333333333333,8,10042,83.06666666666666,13.333333333333334,3
2011-10-01,AK,10200,40800,48,15.335,3.5,4,61250,1,0,6.5,11291,69.775,13.5,4
2011-11-01,AK,17266.666666666668,103600,44,13.328333333333333,2.8333333333333335,6.833333333333333,60110.34,0.8333333333333334,0,11.833333333333334,18205.666666666668,52.43333333333333,26.666666666666668,6
2011-12-01,AK,18127.272727272728,199400,49.09090909090909,13.268181818181818,2.727272727272727,7.2727272727272725,64087.27272727273,0.7272727272727273,0.18181818181818182,9.272727272727273,18025.363636363636,59.30909090909091,23,11
2012-01-01,AK,14782.142857142857,103475,39.42857142857143,11.705714285714285,2.2857142857142856,7,84428.57142857143,0.5714285714285714,0,9.857142857142858,25174.428571428572,62.24285714285714,21.428571428571427,7
2012-02-01,AK,17855.555555555555,160700,41.333333333333336,14.057777777777778,3,6.444444444444445,71847.55555555556,0.6666666666666666,0.2222222222222222,9.555555555555555,14397,60.94444444444444,23.11111111111111,9
2012-03-01,AK,16263.636363636364,178900,40.36363636363637,12.06181818181818,2.1818181818181817,7.4,78712,0.6363636363636364,0.09090909090909091,8.818181818181818,14732.181818181818,67.11818181818181,21.818181818181817,11
2012-04-01,AK,18835.714285714286,131850,46.285714285714285,14.92142857142857,3,6.142857142857143,78071.42857142857,0.7142857142857143,0.14285714285714285,12.857142857142858,19896.85714285714,62.4,27.714285714285715,7
2012-05-01,AK,16268.75,195225,40,15.450833333333334,3.25,4.090909090909091,65750,0.75,0,11.25,18402.666666666668,61.825,25.583333333333332,12
2012-06-01,AK,15478.846153846154,201225,41.53846153846154,13.315384615384614,2.3846153846153846,5.166666666666667,69306,0.7692307692307693,0.3076923076923077,11.461538461538462,20343.76923076923,64.52307692307693,26.53846153846154,13
2012-07-01,AK,12542.857142857143,87800,36,15.065714285714286,2.7142857142857144,5.666666666666667,48857.142857142855,0.5714285714285714,0.2857142857142857,12.142857142857142,8099.857142857143,67.91428571428571,22.714285714285715,7
2012-08-01,AK,18886.764705882353,321075,47.294117647058826,18.038823529411765,3.9411764705882355,6.25,77192.29411764706,0.6470588235294118,0.11764705882352941,10.764705882352942,16963.941176470587,67.07058823529411,23.058823529411764,17
2012-09-01,AK,13728.57142857143,192200,41.142857142857146,14.665714285714285,2.7857142857142856,7,60123.42857142857,0.42857142857142855,0,9.5,11550.285714285714,62.97142857142857,22.142857142857142,14
2012-10-01,AK,12748.333333333334,191225,40.8,15.542666666666666,3.066666666666667,5.333333333333333,59683.84,0.6666666666666666,0.26666666666666666,7.8,15015.533333333333,67.74,17.2,15
