date,state,NYCPI,NYUnemployment,NYCondoPriceIdx,NYSnapBenefits
6/1/07,NY,659.861,4.5,228.29,1801707
7/1/07,NY,660.931,4.6,228.16,1792916
8/1/07,NY,660.06,4.7,227.16,1816805
9/1/07,NY,660.006,4.7,226.14,1823494
10/1/07,NY,660.713,4.8,225.96,1825759
11/1/07,NY,663.464,4.8,226.88,1830858
12/1/07,NY,663.15,4.8,226.76,1849851
1/1/08,NY,664.52,4.8,227.19,1932022
2/1/08,NY,667.848,4.9,229.21,1927903
3/1/08,NY,673.924,4.9,231.26,1950582
4/1/08,NY,675.948,5.0,228.59,1968193
5/1/08,NY,682.68,5.1,226.87,1986156
6/1/08,NY,689.702,5.2,225.55,2004511
7/1/08,NY,694.595,5.4,224.47,2030668
8/1/08,NY,695.396,5.5,223.54,2051611
9/1/08,NY,694.064,5.7,221.65,2077774
10/1/08,NY,689.19,6.0,219.96,2114221
11/1/08,NY,677.9,6.3,218.30,2137106
12/1/08,NY,673.604,6.7,215.51,2174325
1/1/09,NY,674.732,7.1,213.60,2211935
2/1/09,NY,678.378,7.5,211.56,2246664
3/1/09,NY,679.546,7.8,208.41,2295103
4/1/09,NY,681.035,8.1,204.02,2339118
5/1/09,NY,682.171,8.3,201.63,2384027
6/1/09,NY,685.631,8.4,199.02,2427841
7/1/09,NY,686.869,8.5,197.13,2478604
8/1/09,NY,688.841,8.7,196.38,2508884
9/1/09,NY,689.668,8.8,196.04,2555081
10/1/09,NY,689.123,8.8,197.12,2599938
11/1/09,NY,690.272,8.9,197.42,2623264
12/1/09,NY,689.261,8.9,198.99,2673143
1/1/10,NY,690.828,8.9,199.47,2699586
2/1/10,NY,690.517,8.8,198.91,2712437
3/1/10,NY,694.099,8.8,199.69,2754632
4/1/10,NY,695.337,8.7,200.61,2775875
5/1/10,NY,696.916,8.6,202.38,2799734
6/1/10,NY,696.168,8.5,199.68,2824845
7/1/10,NY,697.123,8.5,198.98,2860394
8/1/10,NY,698.342,8.5,198.00,2874189
9/1/10,NY,698.099,8.5,199.70,2895995
10/1/10,NY,699.532,8.5,198.58,2918849
11/1/10,NY,699.473,8.4,199.31,2934493
12/1/10,NY,699.225,8.4,195.94,2969868
1/1/11,NY,701.436,8.3,194.84,2971876
2/1/11,NY,704.884,8.2,195.52,2975444
3/1/11,NY,710.044,8.1,195.90,3013945
4/1/11,NY,712.565,8.1,197.43,3017404
5/1/11,NY,717.146,8.1,195.10,3019981
6/1/11,NY,718.394,8.2,197.07,3035825
7/1/11,NY,720.299,8.3,197.17,3043751
8/1/11,NY,722.882,8.3,198.61,3040684
9/1/11,NY,724.331,8.4,197.92,3057767
10/1/11,NY,722.862,8.5,197.09,3060107
11/1/11,NY,720.74,8.5,195.88,3046972
12/1/11,NY,717.82,8.6,194.64,3068575
1/1/12,NY,720.754,8.6,193.72,3059120
2/1/12,NY,723.54,8.6,192.37,3059262
3/1/12,NY,728.171,8.7,194.06,3081831
4/1/12,NY,729.507,8.7,194.18,3063238
5/1/12,NY,730.381,8.7,198.36,3082995
6/1/12,NY,729.67,8.7,201.56,3095534
7/1/12,NY,728.545,8.6,203.58,3094677
8/1/12,NY,732.751,8.5,204.55,3109436
9/1/12,NY,735.879,8.4,203.99,3101190
10/1/12,NY,735.08,8.3,205.85,3110070
11/1/12,NY,735.102,8.2,207.49,3152122
12/1/12,NY,732.992,8.2,209.80,3186236
1/1/13,NY,736.613,8.1,210.80,3158541
2/1/13,NY,740.736,8.1,212.47,3153979
3/1/13,NY,741.764,8.0,213.11,3182976
4/1/13,NY,739.965,7.9,214.64,3181218
5/1/13,NY,740.84,7.8,215.84,3183287
6/1/13,NY,742.694,7.8,215.44,3186788
7/1/13,NY,743.894,7.7,216.61,3194470
8/1/13,NY,744.855,7.7,218.43,3186530
9/1/13,NY,747.3,7.6,224.95,3169363
10/1/13,NY,743.15,7.4,225.88,3170323
11/1/13,NY,744.042,7.3,229.03,3156551
12/1/13,NY,743.771,7.1,226.34,3158376
1/1/14,NY,750.456,7.0,230.80,3148532
2/1/14,NY,748.789,6.8,232.78,3114414
3/1/14,NY,751.541,6.7,234.22,3109524
4/1/14,NY,751.579,6.6,234.49,3103477
5/1/14,NY,755.164,6.5,235.72,3101888
6/1/14,NY,755.527,6.4,236.64,3094747
7/1/14,NY,755.953,6.2,238.52,3088298
8/1/14,NY,754.731,6.1,238.52,3075125
9/1/14,NY,754.728,6.0,239.56,3066686
10/1/14,NY,753.07,6.0,238.73,3068825
11/1/14,NY,749.838,5.9,240.16,3057644
12/1/14,NY,746.075,5.8,241.62,3075720
1/1/15,NY,746.929,5.7,244.12,3055942
2/1/15,NY,749.427,5.7,245.12,3045194
3/1/15,NY,750.602,5.6,245.93,3050058
4/1/15,NY,751.506,5.5,248.14,3039251
5/1/15,NY,754.705,5.4,250.48,3027230
6/1/15,NY,755.996,5.3,252.93,3028373
7/1/15,NY,755.091,5.2,254.15,3017604
8/1/15,NY,755.517,5.0,255.54,3001608
9/1/15,NY,757.08,5.0,256.57,3001849
10/1/15,NY,756.003,4.9,256.58,2996649
11/1/15,NY,754.54,4.9,257.21,2982398
12/1/15,NY,751.453,4.9,256.84,2990471
1/1/16,NY,752.612,4.9,258.53,2975036
2/1/16,NY,754.153,4.8,259.80,2972012
3/1/16,NY,755.983,4.8,260.62,2972806
4/1/16,NY,759.194,4.8,257.23,2961955
5/1/16,NY,761.198,4.8,259.21,2965167
6/1/16,NY,762.832,4.9,260.65,2953595
7/1/16,NY,762.383,4.9,261.88,2941315
8/1/16,NY,763.651,4.9,262.28,2957116
9/1/16,NY,764.929,5.0,261.12,2950208
10/1/16,NY,765.32,4.9,262.01,2938258
11/1/16,NY,766.664,4.9,262.45,2940107
12/1/16,NY,767.295,4.8,264.57,2949168
1/1/17,NY,771.621,4.7,265.52,2944348
2/1/17,NY,773.774,4.7,266.55,2922436
3/1/17,NY,773.542,4.7,267.15,2927021
