date,sales
1/1/92,130683
2/1/92,131244
3/1/92,142488
4/1/92,147175
5/1/92,152420
6/1/92,151849
7/1/92,152586
8/1/92,152476
9/1/92,148158
10/1/92,155987
11/1/92,154824
12/1/92,191347
1/1/93,137020
2/1/93,134462
3/1/93,153025
4/1/93,158615
5/1/93,163519
6/1/93,162964
7/1/93,164590
8/1/93,163989
9/1/93,159298
10/1/93,163992
11/1/93,169980
12/1/93,206174
1/1/94,145276
2/1/94,146332
3/1/94,173562
4/1/94,170795
5/1/94,175527
6/1/94,178509
7/1/94,173198
8/1/94,182445
9/1/94,175128
10/1/94,178642
11/1/94,184272
12/1/94,221549
1/1/95,158004
2/1/95,155156
3/1/95,181910
4/1/95,176635
5/1/95,190269
6/1/95,191609
7/1/95,182909
8/1/95,193370
9/1/95,182521
10/1/95,184276
11/1/95,193405
12/1/95,227552
1/1/96,167372
2/1/96,173941
3/1/96,191851
4/1/96,191886
5/1/96,205797
6/1/96,196842
7/1/96,197140
8/1/96,204270
9/1/96,189424
10/1/96,201927
11/1/96,203621
12/1/96,237478
1/1/97,181073
2/1/97,178428
3/1/97,203750
4/1/97,199219
5/1/97,211516
6/1/97,205491
7/1/97,208856
8/1/97,211952
9/1/97,201415
10/1/97,210145
11/1/97,207533
12/1/97,249389
1/1/98,187445
2/1/98,183767
3/1/98,207973
4/1/98,212262
5/1/98,221155
6/1/98,220867
7/1/98,217687
8/1/98,216605
9/1/98,208915
10/1/98,220499
11/1/98,218969
12/1/98,265618
1/1/99,196810
2/1/99,199451
3/1/99,230230
4/1/99,227109
5/1/99,237462
6/1/99,236830
7/1/99,236992
8/1/99,240478
9/1/99,230665
10/1/99,233193
11/1/99,240857
12/1/99,293013
1/1/00,213709
2/1/00,227087
3/1/00,253717
4/1/00,239051
5/1/00,257581
6/1/00,255066
7/1/00,244445
8/1/00,257487
9/1/00,243624
10/1/00,245167
11/1/00,252145
12/1/00,294197
1/1/01,226791
2/1/01,223971
3/1/01,253439
4/1/01,249062
5/1/01,268658
6/1/01,260315
7/1/01,251504
8/1/01,266460
9/1/01,236210
10/1/01,265188
11/1/01,262004
12/1/01,298666
1/1/02,230546
2/1/02,228084
3/1/02,257133
4/1/02,257357
5/1/02,271682
6/1/02,260385
7/1/02,266795
8/1/02,277716
9/1/02,246350
10/1/02,259945
11/1/02,263738
12/1/02,308821
1/1/03,242271
2/1/03,233478
3/1/03,264532
4/1/03,265990
5/1/03,281482
6/1/03,271242
7/1/03,279323
8/1/03,285212
9/1/03,265331
10/1/03,273781
11/1/03,272396
12/1/03,327693
1/1/04,252818
2/1/04,253689
3/1/04,287944
4/1/04,284325
5/1/04,296253
6/1/04,289664
7/1/04,294875
8/1/04,294133
9/1/04,282974
10/1/04,287468
11/1/04,294278
12/1/04,354627
1/1/05,263469
2/1/05,265320
3/1/05,306384
4/1/05,302054
5/1/05,311292
6/1/05,317375
7/1/05,316887
8/1/05,321409
9/1/05,300439
10/1/05,302213
11/1/05,311715
12/1/05,370726
1/1/06,286152
2/1/06,282417
3/1/06,326153
4/1/06,316526
5/1/06,337393
6/1/06,330844
7/1/06,325905
8/1/06,339155
9/1/06,310775
10/1/06,312976
11/1/06,323089
12/1/06,380188
1/1/07,295284
2/1/07,290065
3/1/07,335917
4/1/07,321981
5/1/07,353201
6/1/07,338189
7/1/07,333815
8/1/07,349191
9/1/07,317145
10/1/07,331073
11/1/07,341848
12/1/07,387473
1/1/08,307576
2/1/08,308171
3/1/08,334416
4/1/08,331002
5/1/08,357277
6/1/08,339791
7/1/08,344158
8/1/08,342443
9/1/08,313308
10/1/08,311422
11/1/08,299238
12/1/08,346513
